Day,bathroom-washing-machine-1,bathroom-washing-machine-2,kitchen-coffee-machine-1,kitchen-coffee-machine-2,bathroom-dryer-1,bathroom-dryer-2,kitchen-fridge-1,kitchen-fridge-2,kitchen-dish-washer-1,kitchen-dish-washer-2
1,0,00,12,97,1221835,68,1535527,79,22,80,1,13,1900275,14,1900275,14,55,99,1,16
2,0,00,8,74,1375703,04,1205273,57,664627,98,1,12,1946204,56,1946204,56,0,00,0,55
3,2840721,56,15,12,1693145,29,973596,65,547913,25,4801936,28,2404164,75,2404164,75,3137048824994510000,00,1,69
4,4390130,90,1825151,21,1750624,33,582160,69,26,91,3,06,1478085,28,1478085,28,3050295352593140000,00,0,86
5,0,00,13,46,1212915,33,458228,49,5745068,09,6356220,63,475542,79,475542,79,2016,87,3439743703098390000,00
6,2718755,39,10,68,1403595,14,695046,56,3949202,05,1,39,574670,17,574670,17,3010572468078860000,00,1,18
7,3181424,50,13,04,1430555,17,1420510,06,3600118,96,0,28,446392,64,446392,64,3046320572644570000,00,2107718031689390000,00
8,0,00,13,88,1416943,32,1303375,90,31,44,1,13,438881,78,438881,78,0,00,1374485169289480000,00
9,0,00,15,90,4850772,31,1309326,51,21,59,4045667,67,460649,52,460649,52,3511274688366850000,00,2049474409236720000,00
10,2480034,57,3931422,76,967059,63,1448828,81,20,06,1,10,614818,55,614818,55,0,02,0,58
11,0,00,3403389,58,1243734,95,835647,27,18,26,0,94,650171,80,650171,80,0,00,1,44
12,2899550,83,95565,20,732991,90,1322565,70,21,18,1,71,466776,58,466776,58,3058379474143720000,00,3341866876934730000,00
13,1959654,16,15,20,1502829,08,2083346,72,6765641,62,1,69,478342,36,478342,36,0,00,0,28
14,1286774,79,15,12,1318715,05,937940,21,26,73,1,71,468977,29,468977,29,0,00,0,27
15,0,00,1024089,68,840792,70,0,00,2355804,83,4716141,78,472049,14,472049,14,3028642898439350000,00,3295921421982280000,00
16,4468944,30,14,98,1272768,34,0,00,23,36,1,11,475097,19,475097,19,597,82,0,56
17,0,00,1917354,52,1025828,90,1114578,63,25,41,0,00,551179,81,551179,81,4899458678180990000,00,0,55
18,0,00,13,63,1307937,51,645343,81,25,40,8693027,07,538250,51,538250,51,638,78,0,40
19,13199446,26,11,09,1076529,58,894030,06,2126952,78,2,15,570556,37,570556,37,0,00,2753346391791650000,00
20,3423715,02,17,09,1240427,48,1890511,62,24,37,0,86,628669,21,628669,21,2452354786131750000,00,0,00
21,3328,79,629907,29,1360335,22,903187,33,25,65,0,85,405307,17,405307,17,911,55,0,27
22,0,00,16,29,1825117,01,453373,58,27,38,10098423,07,594593,14,594593,14,0,00,0,00
23,3896542,88,1441670,28,1379267,60,0,00,22,66,5594482,64,609598,48,609598,48,3065815734123580000,00,0,30
24,0,00,15,98,1333081,07,0,00,22,11,1,70,596708,97,596708,97,565,47,0,28
25,4337805,61,18,29,1679528,58,0,00,21,44,1,17,466458,94,466458,94,3056874227245050000,00,1975949267069960000,00
26,124192,14,15,17,1524643,36,1134285,30,714388,68,3,43,624255,59,624255,59,1722,48,1419016066366040000,00
27,7830627,10,16,83,1209647,84,3059649,08,4665062,62,17327229,82,622597,11,622597,11,0,00,0,57
28,0,00,4289975,19,1500566,46,875843,08,8946934,85,2,22,565959,75,565959,75,2815284564795540000,00,3384959220801460000,00
29,0,00,17,29,1176664,79,692290,11,551,08,1,11,544355,13,544355,13,234145274868735000,00,0,00
30,3215416,56,18,70,1875369,62,1087228,45,26,00,0,89,472355,36,472355,36,0,00,3484184537760250000,00
31,0,00,987850,73,1415081,29,952848,11,3401250,74,9407008,05,598511,94,598511,94,3057257049934650000,00,0,27
